GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
schema-validator/platform-common,org.sunbird.common.dto,ResponseParams,80,0,10,0,18,0,17,0,12,0
schema-validator/platform-common,org.sunbird.common.dto,Request,203,0,12,0,61,0,35,0,29,0
schema-validator/platform-common,org.sunbird.common.dto,Property,58,0,6,0,19,0,12,0,9,0
schema-validator/platform-common,org.sunbird.common.dto,ResponseHandler,410,0,40,0,102,0,45,0,25,0
schema-validator/platform-common,org.sunbird.common.dto,ResponseParams.StatusType,34,0,0,0,2,0,1,0,1,0
schema-validator/platform-common,org.sunbird.common.dto,ResponseHandler.new ArrayList() {...},20,0,0,0,4,0,1,0,1,0
schema-validator/platform-common,org.sunbird.common.dto,RequestParams,45,0,0,0,19,0,13,0,13,0
schema-validator/platform-common,org.sunbird.common.dto,Response,72,0,0,0,26,0,15,0,15,0
schema-validator/platform-common,org.sunbird.common.dto,ResponseHandler.new ArrayList() {...},20,0,0,0,4,0,1,0,1,0
schema-validator/platform-common,org.sunbird.common.exception,ResponseCode,105,0,8,0,15,0,8,0,4,0
schema-validator/platform-common,org.sunbird.common.exception,ServerException,26,0,0,0,9,0,5,0,5,0
schema-validator/platform-common,org.sunbird.common.exception,ErrorCodes,24,0,0,0,2,0,1,0,1,0
schema-validator/platform-common,org.sunbird.common.exception,MiddlewareException,71,0,0,0,23,0,9,0,9,0
schema-validator/platform-common,org.sunbird.common.exception,ResourceNotFoundException,37,0,0,0,13,0,7,0,7,0
schema-validator/platform-common,org.sunbird.common.exception,ClientException,32,0,0,0,11,0,6,0,6,0
schema-validator/platform-common,org.sunbird.common,DateUtils,50,0,4,0,16,0,8,0,6,0
schema-validator/platform-common,org.sunbird.common,Slug,216,0,22,0,57,0,22,0,11,0
schema-validator/platform-common,org.sunbird.common,HttpUtil,231,0,18,0,44,0,16,0,7,0
schema-validator/platform-common,org.sunbird.common,Platform,161,0,20,0,27,0,23,0,13,0
schema-validator/platform-common,org.sunbird.common,ContentParams,174,0,0,0,3,0,1,0,1,0
schema-validator/platform-common,org.sunbird.common,JsonUtils,60,0,2,0,17,0,8,0,7,0
