GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
search-core/platform-common,org.sunbird.common.dto,ResponseParams,80,0,10,0,18,0,17,0,12,0
search-core/platform-common,org.sunbird.common.dto,Request,203,0,12,0,61,0,35,0,29,0
search-core/platform-common,org.sunbird.common.dto,Property,58,0,6,0,19,0,12,0,9,0
search-core/platform-common,org.sunbird.common.dto,ResponseHandler,410,0,40,0,102,0,45,0,25,0
search-core/platform-common,org.sunbird.common.dto,ResponseParams.StatusType,34,0,0,0,2,0,1,0,1,0
search-core/platform-common,org.sunbird.common.dto,ResponseHandler.new ArrayList() {...},20,0,0,0,4,0,1,0,1,0
search-core/platform-common,org.sunbird.common.dto,RequestParams,45,0,0,0,19,0,13,0,13,0
search-core/platform-common,org.sunbird.common.dto,Response,72,0,0,0,26,0,15,0,15,0
search-core/platform-common,org.sunbird.common.dto,ResponseHandler.new ArrayList() {...},20,0,0,0,4,0,1,0,1,0
search-core/platform-common,org.sunbird.common.exception,ResponseCode,105,0,8,0,15,0,8,0,4,0
search-core/platform-common,org.sunbird.common.exception,ServerException,26,0,0,0,9,0,5,0,5,0
search-core/platform-common,org.sunbird.common.exception,ErrorCodes,24,0,0,0,2,0,1,0,1,0
search-core/platform-common,org.sunbird.common.exception,MiddlewareException,71,0,0,0,23,0,9,0,9,0
search-core/platform-common,org.sunbird.common.exception,ResourceNotFoundException,37,0,0,0,13,0,7,0,7,0
search-core/platform-common,org.sunbird.common.exception,ClientException,32,0,0,0,11,0,6,0,6,0
search-core/platform-common,org.sunbird.common,DateUtils,50,0,4,0,16,0,8,0,6,0
search-core/platform-common,org.sunbird.common,Slug,216,0,22,0,57,0,22,0,11,0
search-core/platform-common,org.sunbird.common,HttpUtil,231,0,18,0,44,0,16,0,7,0
search-core/platform-common,org.sunbird.common,Platform,161,0,20,0,27,0,23,0,13,0
search-core/platform-common,org.sunbird.common,ContentParams,174,0,0,0,3,0,1,0,1,0
search-core/platform-common,org.sunbird.common,JsonUtils,60,0,2,0,17,0,8,0,7,0
search-core/platform-telemetry,org.sunbird.telemetry.util,TelemetryAccessEventUtil,439,0,48,0,81,0,29,0,5,0
search-core/platform-telemetry,org.sunbird.telemetry.util,LogAsyncGraphEvent,44,0,8,0,13,0,7,0,3,0
search-core/platform-telemetry,org.sunbird.telemetry.util,LogTelemetryEventUtil,224,0,10,0,57,0,10,0,5,0
search-core/platform-telemetry,org.sunbird.telemetry.logger,TelemetryManager,316,0,12,0,74,0,27,0,21,0
search-core/platform-telemetry,org.sunbird.telemetry.dto,Target,58,0,0,0,25,0,15,0,15,0
search-core/platform-telemetry,org.sunbird.telemetry.dto,Producer,33,0,0,0,14,0,7,0,7,0
search-core/platform-telemetry,org.sunbird.telemetry.dto,TelemetryBJREvent,52,0,0,0,22,0,15,0,15,0
search-core/platform-telemetry,org.sunbird.telemetry.dto,Parent,17,0,0,0,7,0,5,0,5,0
search-core/platform-telemetry,org.sunbird.telemetry.dto,Actor,23,0,0,0,10,0,5,0,5,0
search-core/platform-telemetry,org.sunbird.telemetry.dto,TelemetryBEEvent,220,0,4,0,59,0,21,0,19,0
search-core/platform-telemetry,org.sunbird.telemetry.dto,Telemetry,183,0,0,0,59,0,25,0,25,0
search-core/platform-telemetry,org.sunbird.telemetry.dto,Context,47,0,0,0,20,0,11,0,11,0
search-core/platform-telemetry,org.sunbird.telemetry,TelemetryParams,44,0,0,0,2,0,1,0,1,0
search-core/platform-telemetry,org.sunbird.telemetry,TelemetryGenerator,541,0,46,0,112,0,39,0,16,0
search-core/platform-telemetry,org.sunbird.telemetry.handler,TelemetryLoggingHandler,47,0,8,0,18,0,10,0,4,0
search-core/platform-telemetry,org.sunbird.telemetry.handler,Level,67,0,0,0,3,0,2,0,2,0
search-core/schema-validator,org.sunbird.schema.formatter,UrlFormatter,22,0,0,0,8,0,4,0,4,0
search-core/schema-validator,org.sunbird.schema.formatter,JsonFormatter,35,0,2,0,12,0,6,0,5,0
search-core/schema-validator,org.sunbird.schema.impl,BaseSchemaValidator,498,0,48,0,84,0,44,0,20,0
search-core/schema-validator,org.sunbird.schema.impl,JsonSchemaValidator,163,0,10,0,31,0,11,0,6,0
search-core/schema-validator,org.sunbird.schema.impl,CustomProblemHandler,164,0,10,0,35,0,13,0,6,0
search-core/schema-validator,org.sunbird.schema,TestSchemaValidator,19,0,0,0,5,0,2,0,2,0
search-core/schema-validator,org.sunbird.schema,SchemaValidatorFactory,143,0,6,0,26,0,13,0,10,0
search-core/schema-validator,org.sunbird.schema.dto,ValidationResult,45,0,2,0,15,0,6,0,5,0
